Latitudine,Longitudine,eNb,Settori,Latitudinetriangolazione,Longitudinetriangolazione,CellID,Settoritotali
41.994328,14.985784,330628,0,41.988273,14.982681437500004,84640768,0;1;2;3;6;7;8;9;12;13;14;15;18;19;20;21
41.982037,14.995068,330628,1,,,84640769,
41.985575,14.980903,330628,2,,,84640770,
41.990849,14.977141,330628,3,,,84640771,
41.992695,14.985926,330628,6,,,84640774,
41.985002,14.98641,330628,7,,,84640775,
41.983524,14.973371,330628,8,,,84640776,
41.992812,14.975008,330628,9,,,84640777,
41.993679,14.980384,330628,12,,,84640780,
41.985141,14.992081,330628,13,,,84640781,
41.986977,14.982538,330628,14,,,84640782,
41.992195,14.977931,330628,15,,,84640783,
41.992543,14.986045,330628,18,,,84640786,
41.984064,14.989519,330628,19,,,84640787,
41.98671,14.976232,330628,20,,,84640788,
41.984237,14.978562,330628,21,,,84640789,
